energy_eV,atomic_number,element,line,relative_intensity,col4_norm
1804.7,38,Sr,La2,11,0.099099
1871.7,38,Sr,Lb1,58,0.522523
1582.2,38,Sr,Ll,5,0.045045
57532,73,Ta,Ka1,100,0.662252
56277,73,Ta,Ka2,57,0.377483
65223,73,Ta,Kb1,22,0.145695
66990,73,Ta,Kb2,7,0.046358
64948.8,73,Ta,Kb3,11,0.072848
8146.1,73,Ta,La1,100,0.900901
8087.9,73,Ta,La2,11,0.099099
9343.1,73,Ta,Lb1,67,0.603604
9651.8,73,Ta,Lb2,20,0.18018
10895.2,73,Ta,Lg1,12,0.108108
7173.1,73,Ta,Ll,5,0.045045
1709.6,73,Ta,Ma1,100,1
44481.6,65,Tb,Ka1,100,0.662252
43744.1,65,Tb,Ka2,56,0.370861
50382,65,Tb,Kb1,20,0.13245
51698,65,Tb,Kb2,7,0.046358
50229,65,Tb,Kb3,10,0.066225
6272.8,65,Tb,La1,100,0.900901
6238,65,Tb,La2,11,0.099099
6978,65,Tb,Lb1,61,0.54955
7366.7,65,Tb,"Lb2,15",21,0.189189
8102,65,Tb,Lg1,11,0.099099
5546.7,65,Tb,Ll,4,0.036036
1240,65,Tb,Ma1,100,1
18367.1,43,Tc,Ka1,100,0.662252
18250.8,43,Tc,Ka2,53,0.350993
20619,43,Tc,Kb1,16,0.10596
21005,43,Tc,Kb2,4,0.02649
20599,43,Tc,Kb3,8,0.05298
2424,43,Tc,La1,100,0.900901
2420,43,Tc,La2,11,0.099099
2538,43,Tc,Lb1,54,0.486486
2674,43,Tc,"Lb2,15",7,0.063063
2792,43,Tc,Lg1,3,0.027027
2122,43,Tc,Ll,5,0.045045
27472.3,52,Te,Ka1,100,0.662252
27201.7,52,Te,Ka2,54,0.357616
30995.7,52,Te,Kb1,18,0.119205
31700.4,52,Te,Kb2,5,0.033113
30944.3,52,Te,Kb3,9,0.059603
3769.3,52,Te,La1,100,0.900901
3758.8,52,Te,La2,11,0.099099
4029.6,52,Te,Lb1,61,0.54955
4301.7,52,Te,"Lb2,15",18,0.162162
4570.9,52,Te,Lg1,8,0.072072
3335.6,52,Te,Ll,4,0.036036
93350,90,Th,Ka1,100,0.662252
89953,90,Th,Ka2,62,0.410596
105609,90,Th,Kb1,24,0.15894
108640,90,Th,Kb2,9,0.059603
104831,90,Th,Kb3,12,0.07947
12968.7,90,Th,La1,100,0.900901
12809.6,90,Th,La2,11,0.099099
16202.2,90,Th,Lb1,69,0.621622
15623.7,90,Th,Lb2,26,0.234234
18982.5,90,Th,Lg1,16,0.144144
11118.6,90,Th,Ll,6,0.054054
2996.1,90,Th,Ma1,100,1
4510.8,22,Ti,Ka1,100,0.662252
4504.9,22,Ti,Ka2,50,0.331126
4931.8,22,Ti,"Kb1,3",15,0.099338
452.2,22,Ti,"La1,2",111,1
458.4,22,Ti,Lb1,79,0.711712
395.3,22,Ti,Ll,46,0.414414
72871.5,81,Tl,Ka1,100,0.662252
70831.9,81,Tl,Ka2,60,0.397351
82576,81,Tl,Kb1,23,0.152318
84910,81,Tl,Kb2,8,0.05298
82118,81,Tl,Kb3,12,0.07947
10268.5,81,Tl,La1,100,0.900901
10172.8,81,Tl,La2,11,0.099099
12213.3,81,Tl,Lb1,67,0.603604
12271.5,81,Tl,Lb2,25,0.225225
14291.5,81,Tl,Lg1,14,0.126126
8953.2,81,Tl,Ll,6,0.054054
2270.6,81,Tl,Ma1,100,1
50741.6,69,Tm,Ka1,100,0.662252
49772.6,69,Tm,Ka2,57,0.377483
57517,69,Tm,Kb1,21,0.139073
59090,69,Tm,Kb2,7,0.046358
57304,69,Tm,Kb3,11,0.072848
7179.9,69,Tm,La1,100,0.900901
7133.1,69,Tm,La2,11,0.099099
8101,69,Tm,Lb1,64,0.576577
8468,69,Tm,"Lb2,15",20,0.18018
9426,69,Tm,Lg1,12,0.108108
6341.9,69,Tm,Ll,4,0.036036
1462,69,Tm,Ma1,1,0.01
98439,92,U,Ka1,100,0.662252
94665,92,U,Ka2,62,0.410596
111300,92,U,Kb1,24,0.15894
114530,92,U,Kb2,9,0.059603
110406,92,U,Kb3,13,0.086093
13614.7,92,U,La1,100,0.900901
13438.8,92,U,La2,11,0.099099
17220,92,U,Lb1,61,0.54955
16428.3,92,U,Lb2,26,0.234234
20167.1,92,U,Lg1,15,0.135135
11618.3,92,U,Ll,7,0.063063
3170.8,92,U,Ma1,100,1
4952.2,23,V,Ka1,100,0.662252
4944.6,23,V,Ka2,50,0.331126
5427.3,23,V,"Kb1,3",15,0.099338
511.3,23,V,"La1,2",111,1
519.2,23,V,Lb1,80,0.720721
